,Borough,Year,FIPS County Code,NTA Code,NTA Name,Population
0,Bronx,2010,5,BX01,Claremont-Bathgate,31078
1,Bronx,2010,5,BX03,Eastchester-Edenwald-Baychester,34517
2,Bronx,2010,5,BX05,Bedford Park-Fordham North,54415
3,Bronx,2010,5,BX06,Belmont,27378
4,Bronx,2010,5,BX07,Bronxdale,35538
5,Bronx,2010,5,BX08,West Farms-Bronx River,35011
6,Bronx,2010,5,BX09,Soundview-Castle Hill-Clason Point-Harding Park,53686
7,Bronx,2010,5,BX10,Pelham Bay-Country Club-City Island,26583
8,Bronx,2010,5,BX13,Co-Op City,43752
9,Bronx,2010,5,BX14,East Concourse-Concourse Village,62284
10,Bronx,2010,5,BX17,East Tremont,43423
11,Bronx,2010,5,BX22,North Riverdale-Fieldston-Riverdale,27860
12,Bronx,2010,5,BX26,Highbridge,37727
13,Bronx,2010,5,BX27,Hunts Point,27204
14,Bronx,2010,5,BX28,Van Cortlandt Village,50100
15,Bronx,2010,5,BX29,Spuyten Duyvil-Kingsbridge,30161
16,Bronx,2010,5,BX30,Kingsbridge Heights,32496
17,Bronx,2010,5,BX31,Allerton-Pelham Gardens,28903
18,Bronx,2010,5,BX33,Longwood,26196
19,Bronx,2010,5,BX34,Melrose South-Mott Haven North,39214
20,Bronx,2010,5,BX35,Morrisania-Melrose,37865
21,Bronx,2010,5,BX36,University Heights-Morris Heights,54188
22,Bronx,2010,5,BX37,Van Nest-Morris Park-Westchester Square,29250
23,Bronx,2010,5,BX39,Mott Haven-Port Morris,52413
24,Bronx,2010,5,BX40,Fordham South,28262
25,Bronx,2010,5,BX41,Mount Hope,51807
26,Bronx,2010,5,BX43,Norwood,40494
27,Bronx,2010,5,BX44,Williamsbridge-Olinville,61321
28,Bronx,2010,5,BX46,Parkchester,29821
29,Bronx,2010,5,BX49,Pelham Parkway,30073
30,Bronx,2010,5,BX52,Schuylerville-Throgs Neck-Edgewater Park,44167
31,Bronx,2010,5,BX55,Soundview-Bruckner,35634
32,Bronx,2010,5,BX59,Westchester-Unionport,27248
33,Bronx,2010,5,BX62,Woodlawn-Wakefield,42483
34,Bronx,2010,5,BX63,West Concourse,39282
35,Bronx,2010,5,BX75,Crotona Park East,20277
36,Bronx,2010,5,BX98,Rikers Island,11091
37,Bronx,2010,5,BX99,park-cemetery-etc-Bronx,1906
38,Brooklyn,2010,47,BK09,Brooklyn Heights-Cobble Hill,22887
39,Brooklyn,2010,47,BK17,Sheepshead Bay-Gerritsen Beach-Manhattn Bch,64518
40,Brooklyn,2010,47,BK19,Brighton Beach,35547
41,Brooklyn,2010,47,BK21,Seagate-Coney Island,31965
42,Brooklyn,2010,47,BK23,West Brighton,17750
43,Brooklyn,2010,47,BK25,Homecrest,44316
44,Brooklyn,2010,47,BK26,Gravesend,29436
45,Brooklyn,2010,47,BK27,Bath Beach,29931
46,Brooklyn,2010,47,BK28,Bensonhurst West,88727
47,Brooklyn,2010,47,BK29,Bensonhurst East,62978
48,Brooklyn,2010,47,BK30,Dyker Heights,42419
49,Brooklyn,2010,47,BK31,Bay Ridge,79371
50,Brooklyn,2010,47,BK32,Sunset Park West,54041
51,Brooklyn,2010,47,BK33,Carroll Gardens-Columbia Street-Red Hook,38353
52,Brooklyn,2010,47,BK34,Sunset Park East,72340
53,Brooklyn,2010,47,BK35,Stuyvesant Heights,63504
54,Brooklyn,2010,47,BK37,Park Slope-Gowanus,67649
55,Brooklyn,2010,47,BK38,DUMBO-Vinegar Hill-Downtown Brklyn-Boerum Hill,34495
56,Brooklyn,2010,47,BK40,Windsor Terrace,20988
57,Brooklyn,2010,47,BK41,Kensington-Ocean Parkway,36891
58,Brooklyn,2010,47,BK42,Flatbush,105804
59,Brooklyn,2010,47,BK43,Midwood,52835
60,Brooklyn,2010,47,BK44,Madison,38917
61,Brooklyn,2010,47,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,45231
62,Brooklyn,2010,47,BK46,Ocean Parkway South,20299
63,Brooklyn,2010,47,BK50,Canarsie,83693
64,Brooklyn,2010,47,BK58,Flatlands,64762
65,Brooklyn,2010,47,BK60,Prospect Lefferts Gardens-Wingate,67459
66,Brooklyn,2010,47,BK61,Crown Heights North,103169
67,Brooklyn,2010,47,BK63,Crown Heights South,39670
68,Brooklyn,2010,47,BK64,Prospect Heights,19849
69,Brooklyn,2010,47,BK68,Fort Greene,26079
70,Brooklyn,2010,47,BK69,Clinton Hill,34791
71,Brooklyn,2010,47,BK72,Williamsburg,32926
72,Brooklyn,2010,47,BK73,North Side-South Side,45774
73,Brooklyn,2010,47,BK75,Bedford,70713
74,Brooklyn,2010,47,BK76,Greenpoint,34719
75,Brooklyn,2010,47,BK77,Bushwick North,57138
76,Brooklyn,2010,47,BK78,Bushwick South,72101
77,Brooklyn,2010,47,BK79,Ocean Hill,31935
78,Brooklyn,2010,47,BK81,Brownsville,58300
79,Brooklyn,2010,47,BK82,East New York,91958
80,Brooklyn,2010,47,BK83,Cypress Hills-City Line,49223
81,Brooklyn,2010,47,BK85,East New York (Pennsylvania Ave),29343
82,Brooklyn,2010,47,BK88,Borough Park,106357
83,Brooklyn,2010,47,BK90,East Williamsburg,34158
84,Brooklyn,2010,47,BK91,East Flatbush-Farragut,50355
85,Brooklyn,2010,47,BK93,Starrett City,13354
86,Brooklyn,2010,47,BK95,Erasmus,29938
87,Brooklyn,2010,47,BK96,Rugby-Remsen Village,55326
88,Brooklyn,2010,47,BK99,park-cemetery-etc-Brooklyn,418
89,Manhattan,2010,61,MN01,Marble Hill-Inwood,46746
90,Manhattan,2010,61,MN03,Central Harlem North-Polo Grounds,75282
91,Manhattan,2010,61,MN04,Hamilton Heights,48520
92,Manhattan,2010,61,MN06,Manhattanville,22950
93,Manhattan,2010,61,MN09,Morningside Heights,55929
94,Manhattan,2010,61,MN11,Central Harlem South,43383
95,Manhattan,2010,61,MN12,Upper West Side,132378
96,Manhattan,2010,61,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,70150
97,Manhattan,2010,61,MN14,Lincoln Square,61489
98,Manhattan,2010,61,MN15,Clinton,45884
99,Manhattan,2010,61,MN17,Midtown-Midtown South,28630
100,Manhattan,2010,61,MN19,Turtle Bay-East Midtown,51231
101,Manhattan,2010,61,MN20,Murray Hill-Kips Bay,50742
102,Manhattan,2010,61,MN21,Gramercy,27988
103,Manhattan,2010,61,MN22,East Village,44136
104,Manhattan,2010,61,MN23,West Village,66880
105,Manhattan,2010,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,42742
106,Manhattan,2010,61,MN25,Battery Park City-Lower Manhattan,39699
107,Manhattan,2010,61,MN27,Chinatown,47844
108,Manhattan,2010,61,MN28,Lower East Side,72957
109,Manhattan,2010,61,MN31,Lenox Hill-Roosevelt Island,80771
110,Manhattan,2010,61,MN32,Yorkville,77942
111,Manhattan,2010,61,MN33,East Harlem South,57902
112,Manhattan,2010,61,MN34,East Harlem North,58019
113,Manhattan,2010,61,MN35,Washington Heights North,67136
114,Manhattan,2010,61,MN36,Washington Heights South,84438
115,Manhattan,2010,61,MN40,Upper East Side-Carnegie Hill,61207
116,Manhattan,2010,61,MN50,Stuyvesant Town-Cooper Village,21049
117,Manhattan,2010,61,MN99,park-cemetery-etc-Manhattan,1849
118,Queens,2010,81,QN01,South Jamaica,38894
119,Queens,2010,81,QN02,Springfield Gardens North,25409
120,Queens,2010,81,QN03,Springfield Gardens South-Brookville,20132
121,Queens,2010,81,QN05,Rosedale,25063
122,Queens,2010,81,QN06,Jamaica Estates-Holliswood,25480
123,Queens,2010,81,QN07,Hollis,20269
124,Queens,2010,81,QN08,St. Albans,48593
125,Queens,2010,81,QN10,Breezy Point-Belle Harbor-Rockwy Prk-Broad Chnl,28018
126,Queens,2010,81,QN12,Hammels-Arverne-Edgemere,36885
127,Queens,2010,81,QN15,Far Rockaway-Bayswater,50058
128,Queens,2010,81,QN17,Forest Hills,83728
129,Queens,2010,81,QN18,Rego Park,28260
130,Queens,2010,81,QN19,Glendale,32496
131,Queens,2010,81,QN20,Ridgewood,69317
132,Queens,2010,81,QN21,Middle Village,37929
133,Queens,2010,81,QN22,Flushing,72008
134,Queens,2010,81,QN23,College Point,24275
135,Queens,2010,81,QN25,Corona,57658
136,Queens,2010,81,QN26,North Corona,52037
137,Queens,2010,81,QN27,East Elmhurst,23150
138,Queens,2010,81,QN28,Jackson Heights,108152
139,Queens,2010,81,QN29,Elmhurst,88427
140,Queens,2010,81,QN30,Maspeth,30516
141,Queens,2010,81,QN31,Hunters Point-Sunnyside-West Maspeth,63271
142,Queens,2010,81,QN33,Cambria Heights,18677
143,Queens,2010,81,QN34,Queens Village,52504
144,Queens,2010,81,QN35,Briarwood-Jamaica Hills,39138
145,Queens,2010,81,QN37,Kew Gardens Hills,37479
146,Queens,2010,81,QN38,Pomonok-Flushing Heights-Hillcrest,34034
147,Queens,2010,81,QN41,Fresh Meadows-Utopia,17812
148,Queens,2010,81,QN42,Oakland Gardens,28237
149,Queens,2010,81,QN43,Bellerose,25287
150,Queens,2010,81,QN44,Glen Oaks-Floral Park-New Hyde Park,22571
151,Queens,2010,81,QN45,Douglas Manor-Douglaston-Little Neck,24739
152,Queens,2010,81,QN46,Bayside-Bayside Hills,43808
153,Queens,2010,81,QN47,Ft. Totten-Bay Terrace-Clearview,21751
154,Queens,2010,81,QN48,Auburndale,19996
155,Queens,2010,81,QN49,Whitestone,30773
156,Queens,2010,81,QN50,Elmhurst-Maspeth,25521
157,Queens,2010,81,QN51,Murray Hill,51739
158,Queens,2010,81,QN52,East Flushing,26982
159,Queens,2010,81,QN53,Woodhaven,56674
160,Queens,2010,81,QN54,Richmond Hill,62982
161,Queens,2010,81,QN55,South Ozone Park,75878
162,Queens,2010,81,QN56,Ozone Park,21376
163,Queens,2010,81,QN57,Lindenwood-Howard Beach,26148
164,Queens,2010,81,QN60,Kew Gardens,23278
165,Queens,2010,81,QN61,Jamaica,53751
166,Queens,2010,81,QN62,Queensboro Hill,20800
167,Queens,2010,81,QN63,Woodside,45099
168,Queens,2010,81,QN66,Laurelton,24453
169,Queens,2010,81,QN68,Queensbridge-Ravenswood-Long Island City,20030
170,Queens,2010,81,QN70,Astoria,78793
171,Queens,2010,81,QN71,Old Astoria,27814
172,Queens,2010,81,QN72,Steinway,47534
173,Queens,2010,81,QN76,Baisley Park,34603
174,Queens,2010,81,QN98,Airport,0
175,Queens,2010,81,QN99,park-cemetery-etc-Queens,436
176,Staten Island,2010,85,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,27770
177,Staten Island,2010,85,SI05,New Springville-Bloomfield-Travis,39597
178,Staten Island,2010,85,SI07,Westerleigh,24102
179,Staten Island,2010,85,SI08,Grymes Hill-Clifton-Fox Hills,22460
180,Staten Island,2010,85,SI11,Charleston-Richmond Valley-Tottenville,23313
181,Staten Island,2010,85,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,31474
182,Staten Island,2010,85,SI14,Grasmere-Arrochar-Ft. Wadsworth,16079
183,Staten Island,2010,85,SI22,West New Brighton-New Brighton-St. George,33551
184,Staten Island,2010,85,SI24,Todt Hill-Emersn Hill-Heartland Villg-Lighthse Hill,30714
185,Staten Island,2010,85,SI25,Oakwood-Oakwood Beach,22049
186,Staten Island,2010,85,SI28,Port Richmond,20191
187,Staten Island,2010,85,SI32,Rossville-Woodrow,20763
188,Staten Island,2010,85,SI35,New Brighton-Silver Lake,17525
189,Staten Island,2010,85,SI36,Old Town-Dongan Hills-South Beach,24835
190,Staten Island,2010,85,SI37,Stapleton-Rosebank,26453
191,Staten Island,2010,85,SI45,New Dorp-Midland Beach,21896
192,Staten Island,2010,85,SI48,Arden Heights,25238
193,Staten Island,2010,85,SI54,Great Kills,40720
194,Staten Island,2010,85,SI99,park-cemetery-etc-Staten Island,0
