,Station,yearMonth,Exits,Entries,Total_Volume,station_name,latitude,longitude,geometry
192,COURT SQ,201709,1570464,4501649,6072113,COURT SQ,40.7467885,-73.944548,POINT (-73.944548 40.7467885)
193,COURT SQ-23 ST,201709,11480386,22428464,33908850,COURT SQ-23 ST,40.7467885,-73.944548,POINT (-73.944548 40.7467885)
194,CRESCENT ST,201709,103950,101566,205516,CRESCENT ST,40.6834543,-73.8726263,POINT (-73.87262629999999 40.6834543)
195,CROWN HTS-UTICA,201709,322840,502688,825528,CROWN HTS-UTICA,40.6689471,-73.93184,POINT (-73.93183999999999 40.6689471)
196,CYPRESS AV,201709,48181,77477,125658,CYPRESS AV,40.805368,-73.914042,POINT (-73.91404199999999 40.805368)
197,CYPRESS HILLS,201709,16310,27764,44074,CYPRESS HILLS,40.689941,-73.87254999999999,POINT (-73.87254999999999 40.689941)
198,DEKALB AV,201709,231556,691404,922960,DEKALB AV,40.6898115,-73.9811745,POINT (-73.98117449999999 40.6898115)
199,DELANCEY/ESSEX,201709,335587,453470,789057,DELANCEY/ESSEX,40.718613,-73.988113,POINT (-73.988113 40.718613)
200,DITMAS AV,201709,34212,67160,101372,DITMAS AV,40.6354536,-73.9782548,POINT (-73.9782548 40.6354536)
201,DYCKMAN ST,201709,71950,274611,346561,DYCKMAN ST,40.8652172,-73.9272555,POINT (-73.9272555 40.8652172)
202,E 143/ST MARY'S,201709,21147,20018,41165,E 143/ST MARY'S,40.80834919999999,-73.9076307,POINT (-73.9076307 40.80834919999999)
203,E 149 ST,201709,82983,97912,180895,E 149 ST,40.816129,-73.917811,POINT (-73.917811 40.816129)
204,E 180 ST,201709,128096,175612,303708,E 180 ST,40.841894,-73.873488,POINT (-73.87348799999999 40.841894)
205,EAST 105 ST,201709,64765,75057,139822,EAST 105 ST,40.6513735,-73.89900279999999,POINT (-73.89900279999999 40.6513735)
206,EAST BROADWAY,201709,109727,249846,359573,EAST BROADWAY,40.7203142,-73.9934421,POINT (-73.9934421 40.7203142)
207,EASTCHSTER/DYRE,201709,84030,88340,172370,EASTCHSTER/DYRE,40.8883,-73.830834,POINT (-73.830834 40.8883)
208,EASTN PKWY-MUSM,201709,72737,87112,159849,EASTN PKWY-MUSM,40.6718194,-73.964328,POINT (-73.96432799999999 40.6718194)
209,ELDER AV,201709,108627,133411,242038,ELDER AV,40.828601,-73.87917159999999,POINT (-73.87917159999999 40.828601)
210,ELMHURST AV,201709,47561,246783,294344,ELMHURST AV,40.7484876,-73.87653279999999,POINT (-73.87653279999999 40.7484876)
211,EUCLID AV,201709,56775,210032,266807,EUCLID AV,40.675377,-73.872106,POINT (-73.872106 40.675377)
212,EXCHANGE PLACE,201709,727589,561245,1288834,EXCHANGE PLACE,40.71180409999999,-74.0101995,POINT (-74.0101995 40.71180409999999)
213,FAR ROCKAWAY,201709,87849,93686,181535,FAR ROCKAWAY,40.59967839999999,-73.7617897,POINT (-73.76178969999999 40.59967839999999)
214,FLATBUSH AV-B.C,201709,207497,394359,601856,FLATBUSH AV-B.C,40.6898115,-73.9811745,POINT (-73.98117449999999 40.6898115)
215,FLUSHING AV,201709,119054,214680,333734,FLUSHING AV,40.7007225,-73.941931,POINT (-73.941931 40.7007225)
216,FLUSHING-MAIN,201709,817527,1133809,1951336,FLUSHING-MAIN,40.759699,-73.829978,POINT (-73.829978 40.759699)
217,FORDHAM RD,201709,903085,3706756,4609841,FORDHAM RD,40.8628682,-73.9011137,POINT (-73.9011137 40.8628682)
218,FOREST AVE,201709,27454,36577,64031,FOREST AVE,40.704422,-73.903076,POINT (-73.903076 40.704422)
219,FOREST HILLS 71,201709,260927,521988,782915,FOREST HILLS 71,40.721691,-73.844521,POINT (-73.844521 40.721691)
220,FRANKLIN AV,201709,246450,391050,637500,FRANKLIN AV,40.7192769,-74.0070636,POINT (-74.0070636 40.7192769)
221,FRANKLIN ST,201709,61475,103787,165262,FRANKLIN ST,40.7192769,-74.0070636,POINT (-74.0070636 40.7192769)
222,FREEMAN ST,201709,56006,81408,137414,FREEMAN ST,40.830152,-73.8916773,POINT (-73.8916773 40.830152)
223,FRESH POND RD,201709,62501,65378,127879,FRESH POND RD,40.7062829,-73.8957514,POINT (-73.89575139999999 40.7062829)
224,FT HAMILTON PKY,201709,98833,279167,378000,FT HAMILTON PKY,40.6497679,-73.97576750000002,POINT (-73.97576750000002 40.6497679)
225,FULTON ST,201709,151946204,235774886,387721090,FULTON ST,40.709373,-74.0083258,POINT (-74.00832579999999 40.709373)
226,GATES AV,201709,52782,153224,206006,GATES AV,40.68963,-73.92227,POINT (-73.92227 40.68963)
227,GRAHAM AV,201709,119179,198208,317387,GRAHAM AV,40.7145263,-73.94438180000002,POINT (-73.94438180000002 40.7145263)
228,GRAND ARMY PLAZ,201709,47224,134631,181855,GRAND ARMY PLAZ,40.675235,-73.971046,POINT (-73.971046 40.675235)
229,GRAND ST,201709,413168,537372,950540,GRAND ST,40.7527262,-73.9772294,POINT (-73.9772294 40.7527262)
230,GRAND-NEWTOWN,201709,4057925,1286415,5344340,GRAND-NEWTOWN,40.7373619,-73.8772044,POINT (-73.8772044 40.7373619)
231,GRANT AV,201709,84965,123405,208370,GRANT AV,40.6768813,-73.865353,POINT (-73.865353 40.6768813)
232,GRD CNTRL-42 ST,201709,2972758,2910661,5883419,GRD CNTRL-42 ST,40.7526116,-73.977327,POINT (-73.977327 40.7526116)
233,GREENPOINT AV,201709,179306,1112213,1291519,GREENPOINT AV,40.7301449,-73.9540561,POINT (-73.9540561 40.7301449)
234,GROVE STREET,201709,576962,657281,1234243,GROVE STREET,40.7196062,-74.04263569999999,POINT (-74.04263569999999 40.7196062)
235,GUN HILL RD,201709,184390,274059,458449,GUN HILL RD,40.8777414,-73.86628089999999,POINT (-73.86628089999999 40.8777414)
236,HALSEY ST,201709,142484,319793,462277,HALSEY ST,40.6859916,-73.91575089999999,POINT (-73.91575089999999 40.6859916)
237,HARLEM 148 ST,201709,58302,75644,133946,HARLEM 148 ST,40.8240504,-73.9369385,POINT (-73.9369385 40.8240504)
238,HARRISON,201709,167049,172861,339910,HARRISON,40.7394438,-74.1558766,POINT (-74.1558766 40.7394438)
239,HEWES ST,201709,26490,50787,77277,HEWES ST,40.7068162,-73.9534031,POINT (-73.9534031 40.7068162)
240,HIGH ST,201709,234670,202852,437522,HIGH ST,40.6994297,-73.9914094,POINT (-73.99140939999999 40.6994297)
241,HOUSTON ST,201709,179093,258845,437938,HOUSTON ST,40.728251,-74.00536699999999,POINT (-74.00536699999999 40.728251)
242,HOWARD BCH JFK,201709,89392,79895,169287,HOWARD BCH JFK,40.660476,-73.83030099999999,POINT (-73.83030099999999 40.660476)
243,HOYT ST,201709,95390,111264,206654,HOYT ST,40.690545,-73.98506499999999,POINT (-73.98506499999999 40.690545)
244,HOYT-SCHER,201709,172097,193038,365135,HOYT-SCHER,40.6888212,-73.9853119,POINT (-73.9853119 40.6888212)
245,HUNTERS PT AV,201709,116415,134297,250712,HUNTERS PT AV,40.7424176,-73.9481564,POINT (-73.9481564 40.7424176)
246,HUNTS POINT AV,201709,156661,201107,357768,HUNTS POINT AV,40.8207062,-73.89065219999999,POINT (-73.89065219999999 40.8207062)
247,INTERVALE AV,201709,54535,65387,119922,INTERVALE AV,40.7466891,-73.8908579,POINT (-73.8908579 40.7466891)
248,INWOOD-207 ST,201709,76129,186804,262933,INWOOD-207 ST,40.8678989,-73.9212342,POINT (-73.9212342 40.8678989)
249,JACKSON AV,201709,19185,111026,130211,JACKSON AV,40.8162282,-73.90801350000001,POINT (-73.90801350000001 40.8162282)
250,JAMAICA 179 ST,201709,157165,403257,560422,JAMAICA 179 ST,40.712646,-73.783817,POINT (-73.783817 40.712646)
251,JAMAICA CENTER,201709,707435,1027850,1735285,JAMAICA CENTER,40.7021447,-73.8008771,POINT (-73.80087709999999 40.7021447)
252,JAMAICA VAN WK,201709,99070,97143,196213,JAMAICA VAN WK,40.7027167,-73.8172101,POINT (-73.8172101 40.7027167)
253,JAY ST-METROTEC,201709,472568,1257296,1729864,JAY ST-METROTEC,40.6923458,-73.987257,POINT (-73.987257 40.6923458)
254,JEFFERSON ST,201709,33173,159481,192654,JEFFERSON ST,40.7063088,-73.9220881,POINT (-73.9220881 40.7063088)
255,JFK JAMAICA CT1,201709,227310,268585,495895,JFK JAMAICA CT1,40.70040789999999,-73.8079298,POINT (-73.8079298 40.70040789999999)
256,JKSN HT-ROOSVLT,201709,634561,941318,1575879,JKSN HT-ROOSVLT,40.7466891,-73.8908579,POINT (-73.8908579 40.7466891)
257,JOURNAL SQUARE,201709,583835,643312,1227147,JOURNAL SQUARE,40.7326829,-74.0626888,POINT (-74.0626888 40.7326829)
258,JUNCTION BLVD,201709,316609,438390,754999,JUNCTION BLVD,40.749203,-73.8693365,POINT (-73.8693365 40.749203)
259,JUNIUS ST,201709,37608,37314,74922,JUNIUS ST,40.663515,-73.90244700000001,POINT (-73.90244700000001 40.663515)
260,KEW GARDENS,201709,807043,803014,1610057,KEW GARDENS,40.7140881,-73.8300213,POINT (-73.8300213 40.7140881)
261,KINGS HWY,201709,379141,558969,938110,KINGS HWY,40.6086747,-73.9578152,POINT (-73.9578152 40.6086747)
262,KINGSBRIDGE RD,201709,197956,355207,553163,KINGSBRIDGE RD,40.8662419,-73.8939541,POINT (-73.8939541 40.8662419)
263,KINGSTON AV,201709,63591,91820,155411,KINGSTON AV,40.6692917,-73.942435,POINT (-73.942435 40.6692917)
264,KINGSTON-THROOP,201709,88853,133424,222277,KINGSTON-THROOP,40.6797533,-73.9411255,POINT (-73.9411255 40.6797533)
265,KNICKERBOCKER,201709,97,10,107,KNICKERBOCKER,40.7554877,-73.9861208,POINT (-73.98612079999999 40.7554877)
266,KOSCIUSZKO ST,201709,44611,142870,187481,KOSCIUSZKO ST,40.693342,-73.928814,POINT (-73.928814 40.693342)
267,LACKAWANNA,201709,176230,192204,368434,LACKAWANNA,40.7549699,-74.0010058,POINT (-74.0010058 40.7549699)
268,LAFAYETTE AV,201709,43265,99153,142418,LAFAYETTE AV,40.6859569,-73.97365429999999,POINT (-73.97365429999999 40.6859569)
269,LEXINGTON AV/53,201709,725178,685272,1410450,LEXINGTON AV/53,40.7602163,-73.975543,POINT (-73.975543 40.7602163)
270,LEXINGTON AV/63,201709,1989990,8075483,10065473,LEXINGTON AV/63,40.764629,-73.96611,POINT (-73.96611 40.764629)
271,LIBERTY AV,201709,25357,57312,82669,LIBERTY AV,40.674542,-73.896548,POINT (-73.896548 40.674542)
272,LIVONIA AV,201709,49541,65830,115371,LIVONIA AV,40.664038,-73.900571,POINT (-73.900571 40.664038)
273,LONGWOOD AV,201709,55200,68366,123566,LONGWOOD AV,40.816104,-73.896435,POINT (-73.896435 40.816104)
274,LORIMER ST,201709,66724,215099,281823,LORIMER ST,40.7139225,-73.9493905,POINT (-73.94939050000001 40.7139225)
275,MARBLE HILL-225,201709,21948,105321,127269,MARBLE HILL-225,40.874561,-73.909831,POINT (-73.909831 40.874561)
276,MARCY AV,201709,102379,227772,330151,MARCY AV,40.7085554,-73.95791179999999,POINT (-73.95791179999999 40.7085554)
277,METROPOLITAN AV,201709,150351,221429,371780,METROPOLITAN AV,40.7139225,-73.9493905,POINT (-73.94939050000001 40.7139225)
278,METS-WILLETS PT,201709,173815,126927,300742,METS-WILLETS PT,40.7606911,-73.840436,POINT (-73.840436 40.7606911)
279,MIDDLETOWN RD,201709,35951,40140,76091,MIDDLETOWN RD,40.8438752,-73.836338,POINT (-73.836338 40.8438752)
280,MONTROSE AV,201709,73508,140238,213746,MONTROSE AV,40.707739,-73.93984999999999,POINT (-73.93984999999999 40.707739)
281,MORGAN AV,201709,69171,157525,226696,MORGAN AV,40.70607589999999,-73.93370999999999,POINT (-73.93370999999999 40.70607589999999)
282,MORISN AV/SNDVW,201709,90971,132915,223886,MORISN AV/SNDVW,40.8294234,-73.8747875,POINT (-73.8747875 40.8294234)
283,MORRIS PARK,201709,43736,47684,91420,MORRIS PARK,40.854364,-73.860495,POINT (-73.860495 40.854364)
284,MOSHOLU PKWY,201709,48643,158842,207485,MOSHOLU PKWY,40.87336639999999,-73.89017919999999,POINT (-73.89017919999999 40.87336639999999)
285,MT EDEN AV,201709,67205,108649,175854,MT EDEN AV,40.844434,-73.91468499999999,POINT (-73.91468499999999 40.844434)
286,MYRTLE AV,201709,125823,285021,410844,MYRTLE AV,40.6996523,-73.9116717,POINT (-73.9116717 40.6996523)
287,MYRTLE-WILLOUGH,201709,46450,108644,155094,MYRTLE-WILLOUGH,40.6954927,-73.9489844,POINT (-73.9489844 40.6954927)
288,MYRTLE-WYCKOFF,201709,235114,478752,713866,MYRTLE-WYCKOFF,40.6996523,-73.9116717,POINT (-73.9116717 40.6996523)
289,NASSAU AV,201709,73696,158185,231881,NASSAU AV,40.7238944,-73.9506777,POINT (-73.9506777 40.7238944)
290,NECK RD,201709,20279,84326,104605,NECK RD,40.595246,-73.95516099999999,POINT (-73.95516099999999 40.595246)
291,NEPTUNE AV,201709,9478,27920,37398,NEPTUNE AV,40.581011,-73.97457399999999,POINT (-73.97457399999999 40.581011)
292,NEREID AV,201709,19469,57613,77082,NEREID AV,40.9031899,-73.8505502,POINT (-73.8505502 40.9031899)
293,NEVINS ST,201709,205026,203829,408855,NEVINS ST,40.6882442,-73.9806206,POINT (-73.98062059999999 40.6882442)
294,NEW LOTS,201709,88138,100711,188849,NEW LOTS,40.6588853,-73.8992464,POINT (-73.8992464 40.6588853)
295,NEW LOTS AV,201709,103976,117917,221893,NEW LOTS AV,40.6588853,-73.8992464,POINT (-73.8992464 40.6588853)
296,NEW UTRECHT AV,201709,79565,104017,183582,NEW UTRECHT AV,40.625595,-73.99683399999999,POINT (-73.99683399999999 40.625595)
297,NEWARK BM BW,201709,22050,327794,349844,NEWARK BM BW,40.71180409999999,-74.0101995,POINT (-74.0101995 40.71180409999999)
298,NEWARK C,201709,15428,129848,145276,NEWARK C,40.7330459,-74.00705219999999,POINT (-74.00705219999999 40.7330459)
299,NEWARK HM HE,201709,397688,38402,436090,NEWARK HM HE,40.7397399,-74.1676932,POINT (-74.1676932 40.7397399)
300,NEWARK HW BMEBE,201709,156067,121457,277524,NEWARK HW BMEBE,40.71180409999999,-74.0101995,POINT (-74.0101995 40.71180409999999)
301,NEWKIRK AV,201709,85330,146695,232025,NEWKIRK AV,40.639967,-73.948411,POINT (-73.94841099999999 40.639967)
302,NEWKIRK PLAZA,201709,176766,214339,391105,NEWKIRK PLAZA,40.634967,-73.9627763,POINT (-73.9627763 40.634967)
303,NORTHERN BLVD,201709,100563,135153,235716,NORTHERN BLVD,40.75311560000001,-73.9071106,POINT (-73.9071106 40.75311560000001)
304,NORWOOD 205 ST,201709,98492,162573,261065,NORWOOD 205 ST,40.8742935,-73.8775466,POINT (-73.8775466 40.8742935)
305,NORWOOD AV,201709,59221,68349,127570,NORWOOD AV,40.68141,-73.880039,POINT (-73.880039 40.68141)
306,NOSTRAND AV,201709,278111,435705,713816,NOSTRAND AV,40.6899751,-73.9516093,POINT (-73.9516093 40.6899751)
307,OCEAN PKWY,201709,33267,68142,101409,OCEAN PKWY,40.595246,-73.95516099999999,POINT (-73.95516099999999 40.595246)
308,ORCHARD BEACH,201709,8,28,36,ORCHARD BEACH,40.7549699,-74.0010058,POINT (-74.0010058 40.7549699)
309,OZONE PK LEFFRT,201709,102839,153452,256291,OZONE PK LEFFRT,40.685951,-73.82579799999999,POINT (-73.82579799999999 40.685951)
310,PARK PLACE,201709,80043,87800,167843,PARK PLACE,40.674772,-73.957624,POINT (-73.957624 40.674772)
311,PARKCHESTER,201709,296103,321765,617868,PARKCHESTER,40.8332537,-73.86091850000001,POINT (-73.86091850000001 40.8332537)
312,PARKSIDE AV,201709,71709,125753,197462,PARKSIDE AV,40.655292,-73.961495,POINT (-73.961495 40.655292)
313,PARSONS BLVD,201709,101030,125607,226637,PARSONS BLVD,40.7074669,-73.8028085,POINT (-73.8028085 40.7074669)
314,PATH NEW WTC,201709,946707,1191137,2137844,PATH NEW WTC,40.71180409999999,-74.0101995,POINT (-74.0101995 40.71180409999999)
315,PATH WTC,201709,0,0,0,PATH WTC,40.71180409999999,-74.0101995,POINT (-74.0101995 40.71180409999999)
316,PATH WTC 2,201709,218440,57215,275655,PATH WTC 2,40.71180409999999,-74.0101995,POINT (-74.0101995 40.71180409999999)
317,PAVONIA/NEWPORT,201709,367631,384475,752106,PAVONIA/NEWPORT,40.72699,-74.03383,POINT (-74.03382999999999 40.72699)
318,PELHAM BAY PARK,201709,79182,138321,217503,PELHAM BAY PARK,40.85297509999999,-73.8272119,POINT (-73.82721189999999 40.85297509999999)
319,PELHAM PKWY,201709,2168577,5637100,7805677,PELHAM PKWY,40.8588602,-73.8554592,POINT (-73.8554592 40.8588602)
320,PENNSYLVANIA AV,201709,39129,84013,123142,PENNSYLVANIA AV,40.664635,-73.89489499999999,POINT (-73.89489499999999 40.664635)
321,PRESIDENT ST,201709,74829,75698,150527,PRESIDENT ST,40.667883,-73.950683,POINT (-73.950683 40.667883)
322,PRINCE ST,201709,284937,271228,556165,PRINCE ST,40.7241072,-73.997665,POINT (-73.997665 40.7241072)
323,PROSPECT AV,201709,40141,149017,189158,PROSPECT AV,40.66541369999999,-73.99292590000002,POINT (-73.99292590000002 40.66541369999999)
324,PROSPECT PARK,201709,161653,212415,374068,PROSPECT PARK,40.6608704,-73.9621482,POINT (-73.9621482 40.6608704)
325,QUEENS PLAZA,201709,183305,218529,401834,QUEENS PLAZA,40.7488446,-73.9370785,POINT (-73.9370785 40.7488446)
326,QUEENSBORO PLZ,201709,81849,302200,384049,QUEENSBORO PLZ,40.7488446,-73.9370785,POINT (-73.9370785 40.7488446)
327,RALPH AV,201709,52635,118170,170805,RALPH AV,40.6787336,-73.9215528,POINT (-73.9215528 40.6787336)
328,RECTOR ST,201709,146950,309552,456502,RECTOR ST,40.708009,-74.01352419999999,POINT (-74.01352419999999 40.708009)
329,RIT-MANHATTAN,201709,613,60511,61124,RIT-MANHATTAN,41.11035529999999,-73.7699133,POINT (-73.7699133 41.11035529999999)
330,RIT-ROOSEVELT,201709,1222,60145,61367,RIT-ROOSEVELT,40.7466891,-73.8908579,POINT (-73.8908579 40.7466891)
331,ROCKAWAY AV,201709,149835,213490,363325,ROCKAWAY AV,40.6784919,-73.91077179999999,POINT (-73.91077179999999 40.6784919)
332,ROCKAWAY BLVD,201709,39217,152383,191600,ROCKAWAY BLVD,40.6804352,-73.843865,POINT (-73.84386499999999 40.6804352)
333,ROCKAWAY PARK B,201709,15463,14626,30089,ROCKAWAY PARK B,40.5805469,-73.8374249,POINT (-73.8374249 40.5805469)
334,ROOSEVELT ISLND,201709,115447,156264,271711,ROOSEVELT ISLND,40.75913860000001,-73.9532542,POINT (-73.9532542 40.75913860000001)
335,SARATOGA AV,201709,91073,107384,198457,SARATOGA AV,40.661561,-73.9160182,POINT (-73.9160182 40.661561)
336,SENECA AVE,201709,9380,9222,18602,SENECA AVE,40.702762,-73.90773999999999,POINT (-73.90773999999999 40.702762)
337,SHEEPSHEAD BAY,201709,216208,264833,481041,SHEEPSHEAD BAY,40.586896,-73.954155,POINT (-73.954155 40.586896)
338,SHEPHERD AV,201709,28770,66327,95097,SHEPHERD AV,40.67413,-73.88074999999999,POINT (-73.88074999999999 40.67413)
339,SIMPSON ST,201709,46052,181810,227862,SIMPSON ST,40.830152,-73.8916773,POINT (-73.8916773 40.830152)
340,SMITH-9 ST,201709,99679,88233,187912,SMITH-9 ST,40.6746048,-73.99703970000002,POINT (-73.99703970000002 40.6746048)
341,SOUTH FERRY,201709,235522,295949,531471,SOUTH FERRY,40.7017312,-74.0129477,POINT (-74.0129477 40.7017312)
342,SPRING ST,201709,277584,418548,696132,SPRING ST,40.7220965,-73.99679859999999,POINT (-73.99679859999999 40.7220965)
343,ST LAWRENCE AV,201709,65711,83311,149022,ST LAWRENCE AV,40.8314929,-73.8674247,POINT (-73.8674247 40.8314929)
344,ST. GEORGE,201709,35,259877,259912,ST. GEORGE,40.8491196,-73.9337381,POINT (-73.9337381 40.8491196)
345,STEINWAY ST,201709,180834,273038,453872,STEINWAY ST,40.7567083,-73.9206179,POINT (-73.9206179 40.7567083)
346,STERLING ST,201709,53323,109857,163180,STERLING ST,40.6632864,-73.951043,POINT (-73.951043 40.6632864)
347,SUTPHIN BLVD,201709,48232,84401,132633,SUTPHIN BLVD,40.70040789999999,-73.8079298,POINT (-73.8079298 40.70040789999999)
348,SUTPHIN-ARCHER,201709,330571,440453,771024,SUTPHIN-ARCHER,40.70040789999999,-73.8079298,POINT (-73.8079298 40.70040789999999)
349,SUTTER AV,201709,59085,86091,145176,SUTTER AV,40.6650348,-73.92286229999999,POINT (-73.92286229999999 40.6650348)
350,SUTTER AV-RUTLD,201709,116564,126831,243395,SUTTER AV-RUTLD,40.6650348,-73.92286229999999,POINT (-73.92286229999999 40.6650348)
351,THIRTY ST,201709,202025,175754,377779,THIRTY ST,40.7668012,-73.9215746,POINT (-73.9215746 40.7668012)
352,THIRTY THIRD ST,201709,393040,453980,847020,THIRTY THIRD ST,40.7686549,-73.9584259,POINT (-73.95842589999999 40.7686549)
353,TIMES SQ-42 ST,201709,1781786,1709257,3491043,TIMES SQ-42 ST,40.7552574,-73.986933,POINT (-73.98693299999999 40.7552574)
354,TOMPKINSVILLE,201709,1,16659,16660,TOMPKINSVILLE,40.7549699,-74.0010058,POINT (-74.0010058 40.7549699)
355,TREMONT AV,201709,105373,192045,297418,TREMONT AV,40.85041,-73.905227,POINT (-73.905227 40.85041)
356,TWENTY THIRD ST,201709,226484,169121,395605,TWENTY THIRD ST,40.7453097,-73.9985238,POINT (-73.9985238 40.7453097)
357,UNION ST,201709,86718,113770,200488,UNION ST,40.6771517,-73.9830475,POINT (-73.9830475 40.6771517)
358,UTICA AV,201709,225702,334057,559759,UTICA AV,40.6689471,-73.93184,POINT (-73.93183999999999 40.6689471)
359,V.CORTLANDT PK,201709,57374,148723,206097,V.CORTLANDT PK,40.8899597,-73.8982401,POINT (-73.8982401 40.8899597)
360,VAN SICLEN AV,201709,105507,119598,225105,VAN SICLEN AV,40.6780363,-73.8917242,POINT (-73.8917242 40.6780363)
361,VAN SICLEN AVE,201709,53806,64946,118752,VAN SICLEN AVE,40.6780363,-73.8917242,POINT (-73.8917242 40.6780363)
362,VERNON-JACKSON,201709,200340,300285,500625,VERNON-JACKSON,40.7427691,-73.9539131,POINT (-73.95391309999999 40.7427691)
363,W 4 ST-WASH SQ,201709,9331963,22308418,31640381,W 4 ST-WASH SQ,40.7311107,-74.001224,POINT (-74.00122399999999 40.7311107)
364,W 8 ST-AQUARIUM,201709,34473,46703,81176,W 8 ST-AQUARIUM,40.7306255,-73.9926698,POINT (-73.9926698 40.7306255)
365,WAKEFIELD/241,201709,74426,82069,156495,WAKEFIELD/241,40.9031899,-73.8505502,POINT (-73.8505502 40.9031899)
366,WALL ST,201709,4572619,2387706,6960325,WALL ST,40.7066642,-74.0086487,POINT (-74.00864869999999 40.7066642)
367,WEST FARMS SQ,201709,73211,144693,217904,WEST FARMS SQ,40.8405495,-73.8795944,POINT (-73.8795944 40.8405495)
368,WESTCHESTER SQ,201709,101004,122096,223100,WESTCHESTER SQ,40.8401494,-73.8428455,POINT (-73.8428455 40.8401494)
369,WHITEHALL S-FRY,201709,343113,363183,706296,WHITEHALL S-FRY,40.7020844,-74.0126306,POINT (-74.01263059999999 40.7020844)
370,WHITLOCK AV,201709,35681,37860,73541,WHITLOCK AV,40.8273111,-73.8860414,POINT (-73.8860414 40.8273111)
371,WILSON AV,201709,69697,93631,163328,WILSON AV,40.688764,-73.904046,POINT (-73.90404599999999 40.688764)
372,WINTHROP ST,201709,27955,136992,164947,WINTHROP ST,40.6571876,-73.94999899999999,POINT (-73.94999899999999 40.6571876)
373,WOODHAVEN BLVD,201709,260211,509907,770118,WOODHAVEN BLVD,40.7330703,-73.87031870000001,POINT (-73.87031870000001 40.7330703)
374,WOODLAWN,201709,29595,144061,173656,WOODLAWN,40.88603699999999,-73.878751,POINT (-73.87875099999999 40.88603699999999)
375,WORLD TRADE CTR,201709,156306,266082,422388,WORLD TRADE CTR,40.71180409999999,-74.0101995,POINT (-74.0101995 40.71180409999999)
376,YORK ST,201709,84673,182807,267480,YORK ST,40.7013507,-73.9866028,POINT (-73.9866028 40.7013507)
377,ZEREGA AV,201709,44086,51865,95951,ZEREGA AV,40.7466891,-73.8908579,POINT (-73.8908579 40.7466891)
