,NTACode,yearMonth,subwayExits,subwayEntries
0,BK09,201601,265914.0,310061.0
1,BK09,201602,268745.0,320431.0
2,BK09,201603,308964.0,359748.0
3,BK09,201604,292435.0,335191.0
4,BK09,201605,337177.0,362077.0
5,BK09,201606,167222.0,188499.0
6,BK09,201607,206777.0,244153.0
7,BK09,201608,328551.0,330332.0
8,BK09,201609,3408753.4010416665,552574.8442563658
9,BK09,201610,298496.0,341301.0
10,BK09,201611,1601359.0,2856787.0
11,BK09,201612,254539.0,272895.0
12,BK09,201701,298491.0,347723.0
13,BK09,201702,234748.0,263886.0
14,BK09,201703,210464.0,259994.0
15,BK09,201704,311720.0,346909.0
16,BK09,201705,328279.0,365153.0
17,BK09,201706,179016.0,191247.0
18,BK09,201707,290104.0,297469.0
19,BK09,201708,337120.0,332200.0
20,BK09,201709,278011.0,285580.0
21,BK09,201710,377607.0,391335.0
22,BK09,201711,333241.0,360223.0
23,BK09,201712,159921.0,176517.0
24,BK17,201601,313878.0,485800.0
25,BK17,201602,316998.0,493451.0
26,BK17,201603,378989.0,585076.0
27,BK17,201604,351508.0,536312.0
28,BK17,201605,368622.0,559854.0
29,BK17,201606,198982.0,300301.0
30,BK17,201607,1390877.625,3728747.3489583335
31,BK17,201608,3103001.0,4948654.0
32,BK17,201609,365022.0,557827.0
33,BK17,201610,360567.0,551395.0
34,BK17,201611,350801.0,550798.0
35,BK17,201612,744125.484375,1145529.8218315972
36,BK17,201701,336079.0,525230.0
37,BK17,201702,238705.0,378265.0
38,BK17,201703,333718.0,534599.0
39,BK17,201704,343619.0,524330.0
40,BK17,201705,382026.0,581310.0
41,BK17,201706,198210.0,303015.0
42,BK17,201707,345955.0,511052.0
43,BK17,201708,363832.0,538262.0
44,BK17,201709,269754.0,417301.0
45,BK17,201710,804720.0,987097.0
46,BK17,201711,340693.0,531435.0
47,BK17,201712,245690.0,304892.0
48,BK19,201601,177748.0,283191.0
49,BK19,201602,177815.0,282987.0
50,BK19,201603,208167.0,350835.0
51,BK19,201604,179465.0,308760.0
52,BK19,201605,199721.0,342277.0
53,BK19,201606,112077.0,182430.0
54,BK19,201607,149805.0,248958.0
55,BK19,201608,212393.0,315983.0
56,BK19,201609,205861.0,330951.0
57,BK19,201610,193291.0,318612.0
58,BK19,201611,201678.0,338464.0
59,BK19,201612,146636.0,238688.0
60,BK19,201701,184423.0,300642.0
61,BK19,201702,129269.0,211699.0
62,BK19,201703,146249.0,252967.0
63,BK19,201704,181847.265625,295333.38888888893
64,BK19,201705,199835.0,338748.0
65,BK19,201706,111157.0,173899.0
66,BK19,201707,208610.0,313018.0
67,BK19,201708,200229.0,303011.0
68,BK19,201709,149450.0,244733.0
69,BK19,201710,201031.0,341422.0
70,BK19,201711,209495.0,342173.0
71,BK19,201712,90191.0,151324.0
72,BK21,201601,12019.0,40511.0
73,BK21,201602,11624.0,41376.0
74,BK21,201603,14030.0,47945.0
75,BK21,201604,12160.0,40781.0
76,BK21,201605,12921.0,42349.0
77,BK21,201606,8751.0,22681.0
78,BK21,201607,11419.0,29269.0
79,BK21,201608,15732.0,39903.0
80,BK21,201609,17676.0,44605.0
81,BK21,201610,17683.0,45097.0
82,BK21,201611,15498.0,40624.0
83,BK21,201612,12175.0,32920.0
84,BK21,201701,15015.0,41204.0
85,BK21,201702,10375.0,28246.0
86,BK21,201703,12674.0,34271.0
87,BK21,201704,15677.0,40635.0
88,BK21,201705,15415.0,44524.0
89,BK21,201706,7246.0,22074.0
90,BK21,201707,11563.0,33691.0
91,BK21,201708,12136.0,35791.0
92,BK21,201709,9478.0,27920.0
93,BK21,201710,13694.0,41383.0
94,BK21,201711,13817.0,41835.0
95,BK21,201712,7086.0,20773.0
96,BK23,201601,237752.0,273951.0
97,BK23,201602,236551.0,278851.0
98,BK23,201603,391750.8333333333,405345.92346643517
99,BK23,201604,304532.0,359451.0
100,BK23,201605,340679.0,445881.0
101,BK23,201606,227158.0,294078.0
102,BK23,201607,319088.0,408294.0
103,BK23,201608,425978.0,514153.0
104,BK23,201609,336368.0,399629.0
105,BK23,201610,295851.0,352197.0
106,BK23,201611,253113.0,301776.0
107,BK23,201612,189958.0,227640.0
108,BK23,201701,245441.0,288749.0
109,BK23,201702,173731.0,207967.0
110,BK23,201703,197440.0,234240.0
111,BK23,201704,304763.0,377087.0
112,BK23,201705,317023.0,412483.0
113,BK23,201706,198371.0,270447.0
114,BK23,201707,398679.0,520580.0
115,BK23,201708,382434.0,482619.0
116,BK23,201709,251777.0,289541.0
117,BK23,201710,803532.0,459542.24652777775
118,BK23,201711,330149.61805555556,571085.9166666666
119,BK23,201712,125072.0,144250.0
120,BK26,201601,18287.0,68796.0
121,BK26,201602,17367.0,73267.0
122,BK26,201603,20108.0,86425.0
123,BK26,201604,19968.0,77899.0
124,BK26,201605,20394.0,82405.0
125,BK26,201606,9130.0,42764.0
126,BK26,201607,10385.0,60275.0
127,BK26,201608,12652.0,77741.0
128,BK26,201609,18582.0,84280.0
129,BK26,201610,17370.0,83120.0
130,BK26,201611,17123.0,82576.0
131,BK26,201612,12321.0,61548.0
132,BK26,201701,17731.0,79634.0
133,BK26,201702,10698.0,54728.0
134,BK26,201703,13939.0,65715.0
135,BK26,201704,16707.0,74234.0
136,BK26,201705,18420.0,79852.0
137,BK26,201706,7394.0,37950.0
138,BK26,201707,11449.0,67833.0
139,BK26,201708,11355.0,68512.0
140,BK26,201709,12873.0,56627.0
141,BK26,201710,18609.0,75932.0
142,BK26,201711,16459.0,70028.0
143,BK26,201712,8575.0,36641.0
144,BK28,201601,1707784.0,3371821.0
145,BK28,201602,47876503.74305555,1676362984.0
146,BK28,201603,743595.0,1513400.0
147,BK28,201604,693621.0,1392305.0
148,BK28,201605,5013626.0,6921370.0
149,BK28,201606,383081.0,747378.0
150,BK28,201607,1510273.0,1655664.0
151,BK28,201608,622847.0,1270203.0
152,BK28,201609,665871.0,1362610.0
153,BK28,201610,666467.0,1389016.0
154,BK28,201611,650745.0,1380916.0
155,BK28,201612,494134.0,1049255.0
156,BK28,201701,626913.0,1329904.0
157,BK28,201702,427964.0,910489.0
158,BK28,201703,495890.0,1064609.0
159,BK28,201704,100338415.83333333,1961133927.0
160,BK28,201705,10470668.0,8964121.0
161,BK28,201706,346265.0,751559.0
162,BK28,201707,12232056.0,13393037.0
163,BK28,201708,985924.0,2207773.0
164,BK28,201709,431718.0,1082541.0
165,BK28,201710,201118888.0,1605795292.0
166,BK28,201711,574789.0,1845359.0
167,BK28,201712,276830.0,737660.0
168,BK29,201601,364785.0,692479.0
169,BK29,201602,336847.0,631969.0
170,BK29,201603,396238.0,742515.0
171,BK29,201604,372213.0,683948.0
172,BK29,201605,387795.0,718897.0
173,BK29,201606,207518.0,374181.0
174,BK29,201607,282757.0,509728.0
175,BK29,201608,377690.0,689494.0
176,BK29,201609,376071.0,706290.0
177,BK29,201610,374078.0,712343.0
178,BK29,201611,356728.0,704919.0
179,BK29,201612,261906.0,535375.0
180,BK29,201701,342230.0,687585.0
181,BK29,201702,246025.0,487664.0
182,BK29,201703,283755.0,555558.0
183,BK29,201704,350614.0,649886.0
184,BK29,201705,390195.0,688876.0
185,BK29,201706,210659.0,308647.0
186,BK29,201707,357380.0,519361.0
187,BK29,201708,461808.0,553083.0
188,BK29,201709,362201.0,445107.0
189,BK29,201710,488223.0,595426.0
190,BK29,201711,420372.0,547297.0
191,BK29,201712,209452.0,279500.0
192,BK31,201601,955732.0,1251364.0
193,BK31,201602,917672.0,1260676.0
194,BK31,201603,1063971.0,1429320.0
195,BK31,201604,982677.0,1355228.0
196,BK31,201605,981512.0,1375385.0
197,BK31,201606,541868.0,740609.0
198,BK31,201607,731890.0,971286.0
199,BK31,201608,925872.0,1260720.0
200,BK31,201609,967226.0,1337866.0
201,BK31,201610,1002436.0,1386157.0
202,BK31,201611,989633.0,1362335.0
203,BK31,201612,738712.0,1012652.0
204,BK31,201701,902359.0,1166287.0
205,BK31,201702,595397.0,786223.0
206,BK31,201703,700036.0,938262.0
207,BK31,201704,826012.0,1098243.0
208,BK31,201705,817395.0,996043.0
209,BK31,201706,431770.0,543015.0
210,BK31,201707,704795.0,872792.0
211,BK31,201708,726251.0,904517.0
212,BK31,201709,580872.0,739284.0
213,BK31,201710,1287105.0416666667,1779927.5833333333
214,BK31,201711,813407.0,1083286.0
215,BK31,201712,436344.0,575750.0
216,BK32,201601,161867984.484375,161647978.54166666
217,BK32,201602,1173788491.0,283860718.0
218,BK32,201603,266140249.625,554356364.0
219,BK32,201604,134660744.0,571201569.0
220,BK32,201605,153110209.0,607440926.0
221,BK32,201606,277266.0,134603441.0
222,BK32,201607,314509.0,531113.0
223,BK32,201608,418812.0,689889.0
224,BK32,201609,435059.0,134941761.0
225,BK32,201610,991056.0,1452113.0
226,BK32,201611,512999.0,1101385.0
227,BK32,201612,333528.0,585186.0
228,BK32,201701,1533729.0,3633188.0
229,BK32,201702,332040.0,134684348.0
230,BK32,201703,357905.0,134856707.0
231,BK32,201704,450476.0,770378.0
232,BK32,201705,500321.0,933610.0
233,BK32,201706,263044.0,101091273.0
234,BK32,201707,460112.0,768634.0
235,BK32,201708,474977.0,134995182.0
236,BK32,201709,365176.0,619454.0
237,BK32,201710,486295.0,835305.0
238,BK32,201711,453006.0,781444.0
239,BK32,201712,228962.0,398334.0
240,BK33,201601,354382.0,454062.0
241,BK33,201602,378705.0,494888.0
242,BK33,201603,787999.0,714122.0
243,BK33,201604,398084.0,524958.0
244,BK33,201605,375627.0,509217.0
245,BK33,201606,350714.0,319788.0
246,BK33,201607,267668.0,350479.0
247,BK33,201608,389358.0,1001595.0
248,BK33,201609,362573.0,489948.0
249,BK33,201610,728727.0,546716.2638888889
250,BK33,201611,365009.0,501825.0
251,BK33,201612,271449.0,366785.0
252,BK33,201701,370004.0,504826.0
253,BK33,201702,270911.0,359409.0
254,BK33,201703,300029.0,411011.0
255,BK33,201704,469066.0,965029.0
256,BK33,201705,396192.0,537339.0
257,BK33,201706,202355.0,275017.0
258,BK33,201707,339921.0,439701.0
259,BK33,201708,483684.5,686264.3333333334
260,BK33,201709,303833.0,395947.0
261,BK33,201710,413188.0,548196.0
262,BK33,201711,409673.0,537875.0
263,BK33,201712,202965.0,273790.0
264,BK34,201601,113479.0,138500.0
265,BK34,201602,112616.0,140466.0
266,BK34,201603,136657.02430555556,133809.88527199076
267,BK34,201604,126012.0,148284.0
268,BK34,201605,131214.0,150100.0
269,BK34,201606,61745.0,81427.0
270,BK34,201607,97812.0,115599.0
271,BK34,201608,124118.0,146302.0
272,BK34,201609,123933.0,154007.0
273,BK34,201610,129986.0,156415.0
274,BK34,201611,125159.0,154603.0
275,BK34,201612,91451.0,116051.0
276,BK34,201701,116701.0,143396.0
277,BK34,201702,79889.0,100655.0
278,BK34,201703,96251.0,116159.0
279,BK34,201704,108426.0,137037.0
280,BK34,201705,126275.0,131060.0
281,BK34,201706,66112.0,76901.0
282,BK34,201707,121376.0,138330.0
283,BK34,201708,120552.0,142802.0
284,BK34,201709,93030.0,111850.0
285,BK34,201710,128076.0,147773.0
286,BK34,201711,119150.0,145756.0
287,BK34,201712,58835.0,72556.0
288,BK37,201601,1904355.0,2563689.0
289,BK37,201602,2009146.0,2782379.0
290,BK37,201603,19178940.0,8257417.78125
291,BK37,201604,1844343.0,2508121.0
292,BK37,201605,14049198.0,8359431.0
293,BK37,201606,976534.0,1341480.0
294,BK37,201607,1315726.0,1771773.0
295,BK37,201608,1721872.0,2304289.0
296,BK37,201609,5517261.5,5693731.438802083
297,BK37,201610,1907809.0,2554534.0
298,BK37,201611,1999860.0,2687247.0
299,BK37,201612,1598767.0,2102717.0
300,BK37,201701,1942732.0,2609599.0
301,BK37,201702,1371924.0,1842360.0
302,BK37,201703,1570130.0,2096495.0
303,BK37,201704,2745812.0,2499675.0
304,BK37,201705,1857240.0,2629152.0
305,BK37,201706,940549.0,1303495.0
306,BK37,201707,1616896.0,2046247.0
307,BK37,201708,1672354.0,2102057.0
308,BK37,201709,1349658.0,1843384.0
309,BK37,201710,15449805.0,28569379.0
310,BK37,201711,13984047.0,16261361.0
311,BK37,201712,1039071.0,1413449.0
312,BK38,201601,2069263.0,3010492.0
313,BK38,201602,18140263.0,69154721.0
314,BK38,201603,2394196.0,3517686.0
315,BK38,201604,2213310.0,3180524.0
316,BK38,201605,7156445.0,11492036.0
317,BK38,201606,6367990.21875,189706963.70833334
318,BK38,201607,9640567.25,189706963.70833334
319,BK38,201608,2093062.0,3004539.0
320,BK38,201609,2912946.0,6959523.0
321,BK38,201610,7561902.0,4607599.0
322,BK38,201611,2211671.0,3342455.0
323,BK38,201612,10690545.0,12581791.0
324,BK38,201701,2107950.0,3137510.0
325,BK38,201702,1541093.0,2310584.0
326,BK38,201703,1760129.0,2651903.0
327,BK38,201704,2091567.0,3074214.0
328,BK38,201705,4279820.0,101578316.0
329,BK38,201706,1118119.0,1676957.0
330,BK38,201707,1945448.0,2830374.0
331,BK38,201708,8800218.0,13196708.0
332,BK38,201709,1635130.0,2897286.0
333,BK38,201710,2151432.0,3258834.0
334,BK38,201711,2126825.0,3305166.0
335,BK38,201712,1895615.0,2969394.0
336,BK40,201601,243463.0,505189.0
337,BK40,201602,67114794.0,268383965.0
338,BK40,201603,366881.0,2754047.0
339,BK40,201604,1775009.0,2356356.0
340,BK40,201605,260628.0,482814.0
341,BK40,201606,138473.0,247687.0
342,BK40,201607,181821.0,317064.0
343,BK40,201608,4825421.0,12215192.0
344,BK40,201609,67470024.0,268954432.0
345,BK40,201610,252498.0,461229.0
346,BK40,201611,249409.0,454086.0
347,BK40,201612,198980.0,320340.0
348,BK40,201701,259192.0,425777.0
349,BK40,201702,190132.0,303770.0
350,BK40,201703,222419.0,367060.0
351,BK40,201704,264187.0,429332.0
352,BK40,201705,291633.0,491103.0
353,BK40,201706,162339.0,295985.0
354,BK40,201707,16986974.0,76461165.88541667
355,BK40,201708,190108.0,465866.0
356,BK40,201709,16908955.0,116325647.25
357,BK40,201710,33934263.0,67335991.0
358,BK40,201711,297886.0,117727626.0
359,BK40,201712,103415.0,261753.0
360,BK42,201601,809679.0,1265542.0
361,BK42,201602,795763.0,1247601.0
362,BK42,201603,931619.0,1487992.0
363,BK42,201604,849830.0,1386985.0
364,BK42,201605,849083.0,1416886.0
365,BK42,201606,458817.0,744295.0
366,BK42,201607,625828.0,1007706.0
367,BK42,201608,808753.0,1322895.0
368,BK42,201609,860878.0,1412077.0
369,BK42,201610,863163.0,1392545.0
370,BK42,201611,927886.0,1437551.0
371,BK42,201612,664126.0,1048577.0
372,BK42,201701,872126.0,1346322.0
373,BK42,201702,613809.0,953453.0
374,BK42,201703,686321.0,1107105.0
375,BK42,201704,832204.0,1317284.0
376,BK42,201705,911388.0,1459577.0
377,BK42,201706,455186.0,747393.0
378,BK42,201707,778986.0,1264678.0
379,BK42,201708,3488695.0815972225,1278484.7315538193
380,BK42,201709,660599.0,1070617.0
381,BK42,201710,902685.0,1442885.0
382,BK42,201711,910853.0,1398805.0
383,BK42,201712,440112.0,708269.0
384,BK43,201601,109390.0,200682.0
385,BK43,201602,115709.0,206215.0
386,BK43,201603,133234.0,254227.0
387,BK43,201604,111957.0,223292.0
388,BK43,201605,155998.20833333334,680604.7760416666
389,BK43,201606,61595.0,121309.0
390,BK43,201607,81193.0,159858.0
391,BK43,201608,241622.0,339845.0
392,BK43,201609,125683.0,235076.0
393,BK43,201610,158097.0,329199.0
394,BK43,201611,138175.0,243262.0
395,BK43,201612,101071.0,183108.0
396,BK43,201701,123800.0,227384.0
397,BK43,201702,99635.0,175078.0
398,BK43,201703,107230.0,195902.0
399,BK43,201704,113632.0,218162.0
400,BK43,201705,131303.0,246669.0
401,BK43,201706,282864.0,286424.0
402,BK43,201707,104945.0,201395.0
403,BK43,201708,143167.88368055556,289880.24066840275
404,BK43,201709,101405.0,186307.0
405,BK43,201710,145048.0,255980.0
406,BK43,201711,143594.0,248555.0
407,BK43,201712,148806.0,194793.0
408,BK44,201601,526368.0,631786.0
409,BK44,201602,528915.0,604819.0
410,BK44,201603,588546.0,696623.0
411,BK44,201604,518787.0,624893.0
412,BK44,201605,548353.0,646387.0
413,BK44,201606,311675.0,355241.0
414,BK44,201607,403934.0,463341.0
415,BK44,201608,537390.0,618916.0
416,BK44,201609,1123586.4583333333,1251953.4201388888
417,BK44,201610,551373.0,635090.0
418,BK44,201611,587313.0,658501.0
419,BK44,201612,737662.2274305555,928426.8543113425
420,BK44,201701,571177.0,635902.0
421,BK44,201702,406536.0,454658.0
422,BK44,201703,444158.0,518397.0
423,BK44,201704,521679.0,603894.0
424,BK44,201705,2431688.0,2720257.0
425,BK44,201706,296572.0,401729.0
426,BK44,201707,614449.0,807228.0
427,BK44,201708,473541.0,698814.0
428,BK44,201709,379141.0,558969.0
429,BK44,201710,523957.0,773814.0
430,BK44,201711,544330.0,755879.0
431,BK44,201712,270563.0,383897.0
432,BK50,201601,63669.0,290108.0
433,BK50,201602,59542.0,287081.0
434,BK50,201603,68382.0,345426.0
435,BK50,201604,63269.0,291957.0
436,BK50,201605,74269.0,327184.0
437,BK50,201606,43696.0,176788.0
438,BK50,201607,61214.0,224510.0
439,BK50,201608,98250.0,501481.0104166667
440,BK50,201609,85720.0,329964.0
441,BK50,201610,80320.0,329744.0
442,BK50,201611,134597.0,580422.0
443,BK50,201612,52642.0,234036.0
444,BK50,201701,71361.0,304454.0
445,BK50,201702,42495.0,191019.0
446,BK50,201703,57533.0,251881.0
447,BK50,201704,70921.0,302854.0
448,BK50,201705,143462.0,591097.0
449,BK50,201706,43059.0,171462.0
450,BK50,201707,77197.0,288336.0
451,BK50,201708,81783.0,304865.0
452,BK50,201709,61827.0,246577.0
453,BK50,201710,85173.0,333556.0
454,BK50,201711,65855.0,306712.0
455,BK50,201712,31417.0,152865.0
456,BK60,201601,25251904.0,2209119.535300926
457,BK60,201602,377698.0,654688.0
458,BK60,201603,429062.0,767171.0
459,BK60,201604,406883.0,732334.0
460,BK60,201605,398252.0,732045.0
461,BK60,201606,10132250.0,11433649.0
462,BK60,201607,313630.0,546690.0
463,BK60,201608,396364.0,686905.0
464,BK60,201609,405714.0,734678.0
465,BK60,201610,401032.0,735516.0
466,BK60,201611,417123.0,722541.0
467,BK60,201612,318228.0,544036.0
468,BK60,201701,428427.0,719157.0
469,BK60,201702,302250.0,512808.0
470,BK60,201703,327542.0,588121.0
471,BK60,201704,415217.0,752823.0
472,BK60,201705,431566.0,787277.0
473,BK60,201706,3246327.9635416665,4811903.847222222
474,BK60,201707,411092.0,716851.0
475,BK60,201708,411024.0,731032.0
476,BK60,201709,314640.0,585017.0
477,BK60,201710,425666.0,788779.0
478,BK60,201711,423031.0,738797.0
479,BK60,201712,210047.0,380047.0
480,BK61,201601,7702875.404513889,2611055.1892361115
481,BK61,201602,1127338.0,1614673.0
482,BK61,201603,1096965.0,1631366.0
483,BK61,201604,1879106.0,1951269.4662181714
484,BK61,201605,1027681.0,1546635.0
485,BK61,201606,549217.0,848933.0
486,BK61,201607,751245.0,1111132.0
487,BK61,201608,990395.0,1461528.0
488,BK61,201609,1022402.0,1514250.0
489,BK61,201610,1090468.0,1670998.0
490,BK61,201611,1123887.0,1660568.0
491,BK61,201612,837900.0,1245054.0
492,BK61,201701,1142942.0,2039519.0
493,BK61,201702,789107.0,1161436.0
494,BK61,201703,870680.0,1306705.0
495,BK61,201704,1008881.0,1551483.0
496,BK61,201705,1103123.0,1681564.0
497,BK61,201706,570783.0,864986.0
498,BK61,201707,936534.0,1368917.0
499,BK61,201708,977300.0,1429085.0
500,BK61,201709,781029.0,1149789.0
501,BK61,201710,1095819.0,1607068.0
502,BK61,201711,1065131.0,1489694.0
503,BK61,201712,545068.0,764315.0
504,BK63,201601,103593.0,95987.0
505,BK63,201602,107362.0,101941.0
506,BK63,201603,97244.0,94081.0
507,BK63,201604,91621.0,93334.0
508,BK63,201605,102113.0,101563.0
509,BK63,201606,48170.0,49936.0
510,BK63,201607,65273.0,65929.0
511,BK63,201608,85940.0,88340.0
512,BK63,201609,105057.0,102314.0
513,BK63,201610,100018.0,99927.0
514,BK63,201611,112113.0,105632.0
515,BK63,201612,79917.0,76385.0
516,BK63,201701,108199.0,102005.0
517,BK63,201702,78199.0,74587.0
518,BK63,201703,88983.0,86381.0
519,BK63,201704,90483.0,92836.0
520,BK63,201705,104446.0,105281.0
521,BK63,201706,49715.0,51217.0
522,BK63,201707,80122.0,83470.0
523,BK63,201708,85462.0,89600.0
524,BK63,201709,74829.0,75698.0
525,BK63,201710,106165.0,106083.0
526,BK63,201711,110568.0,105208.0
527,BK63,201712,55040.0,54457.0
528,BK68,201601,878702.0,1495255.0
529,BK68,201602,899306.0,1595146.0
530,BK68,201603,1015513.0,1812509.0
531,BK68,201604,954072.0,1718368.0
532,BK68,201605,978609.0,1781035.0
533,BK68,201606,15393135.0,2565152.158998843
534,BK68,201607,673142.0,1236916.0
535,BK68,201608,928565.0,1668756.0
536,BK68,201609,936084.0,1750306.0
537,BK68,201610,959102.0,1788491.0
538,BK68,201611,928385.0,1737402.0
539,BK68,201612,720710.0,1305747.0
540,BK68,201701,2167284.0,2493973.0
541,BK68,201702,656440.0,1215227.0
542,BK68,201703,728616.0,1366919.0
543,BK68,201704,905755.0,1686904.0
544,BK68,201705,950793.0,1744599.0
545,BK68,201706,478294.0,877606.0
546,BK68,201707,5418712.0,8385682.0
547,BK68,201708,3713579.7916666665,4905243.815972223
548,BK68,201709,809805.0,1383340.0
549,BK68,201710,1068169.0,1876947.0
550,BK68,201711,979873.0,1734942.0
551,BK68,201712,514578.0,913378.0
552,BK69,201601,296751.0,523658.0
553,BK69,201602,292938.0,533448.0
554,BK69,201603,305734.0,587841.0
555,BK69,201604,275913.0,555094.0
556,BK69,201605,282834.0,2720806.0
557,BK69,201606,143724.0,278443.0
558,BK69,201607,197343.0,378013.0
559,BK69,201608,269342.0,504047.0
560,BK69,201609,282195.0,557479.0
561,BK69,201610,293806.0,572587.0
562,BK69,201611,311805.0,561755.0
563,BK69,201612,236852.0,84405876.0
